Sample	MappedReadCount
RNA16_P5_M06_WK9_metabat2.4_sub	284589
RNA16_P5_M06_WK9_metabat2.65	123935
RNA16_P5_M06_WK9_metabat2.80	68744
RNA16_P5_M06_WK9_metabat2.91	101919
RNA17_P18_M06_WK9_concoct.113	60822
RNA17_P18_M06_WK9_concoct.20	9048
RNA17_P18_M06_WK9_concoct.35	34646
RNA17_P18_M06_WK9_concoct.37_sub	67752
RNA17_P18_M06_WK9_concoct.38	138872
RNA17_P18_M06_WK9_concoct.41	5868
RNA17_P18_M06_WK9_concoct.48_sub	7564
RNA17_P18_M06_WK9_concoct.56	150913
RNA17_P18_M06_WK9_concoct.57	17206
RNA17_P18_M06_WK9_concoct.58	101781
RNA17_P18_M06_WK9_concoct.60	104128
RNA17_P18_M06_WK9_concoct.68	180759
RNA17_P18_M06_WK9_concoct.69	285107
RNA17_P18_M06_WK9_concoct.74	45700
RNA17_P18_M06_WK9_concoct.77_sub	16739
RNA17_P18_M06_WK9_concoct.78	91447
RNA17_P18_M06_WK9_concoct.7	132392
RNA17_P18_M06_WK9_concoct.82_sub	5632
RNA17_P18_M06_WK9_concoct.83	47362
RNA17_P18_M06_WK9_concoct.92_sub	16375
RNA17_P18_M06_WK9_concoct.95	110148
RNA17_P18_M06_WK9_maxbin.10	43832
RNA17_P18_M06_WK9_maxbin.11	121906
RNA17_P18_M06_WK9_maxbin.12_sub	21134
RNA17_P18_M06_WK9_maxbin.15_sub	147168
RNA17_P18_M06_WK9_maxbin.17	170037
RNA17_P18_M06_WK9_maxbin.21	7567
RNA17_P18_M06_WK9_maxbin.41	110774
RNA17_P18_M06_WK9_maxbin.54	1575
RNA17_P18_M06_WK9_metabat2.12	12678
RNA17_P18_M06_WK9_metabat2.16_sub	73021
RNA17_P18_M06_WK9_metabat2.47	4970
RNA17_P18_M06_WK9_metabat2.4_sub	109513
RNA17_P18_M06_WK9_metabat2.65	108203
RNA17_P18_M06_WK9_metabat2.80	9538
RNA17_P18_M06_WK9_metabat2.91	92634
RNA18_P45_M06_WK9_concoct.113	0
RNA18_P45_M06_WK9_concoct.20	0
RNA18_P45_M06_WK9_concoct.35	0
RNA18_P45_M06_WK9_concoct.37_sub	1
RNA18_P45_M06_WK9_concoct.38	1
RNA18_P45_M06_WK9_concoct.41	0
RNA18_P45_M06_WK9_concoct.48_sub	0
RNA18_P45_M06_WK9_concoct.56	0
RNA18_P45_M06_WK9_concoct.57	0
RNA18_P45_M06_WK9_concoct.58	0
RNA18_P45_M06_WK9_concoct.60	0
RNA18_P45_M06_WK9_concoct.68	0
RNA18_P45_M06_WK9_concoct.69	0
RNA18_P45_M06_WK9_concoct.74	1
RNA18_P45_M06_WK9_concoct.77_sub	0
RNA18_P45_M06_WK9_concoct.78	0
RNA18_P45_M06_WK9_concoct.7	0
RNA18_P45_M06_WK9_concoct.82_sub	0
RNA18_P45_M06_WK9_concoct.83	0
RNA18_P45_M06_WK9_concoct.92_sub	1
RNA18_P45_M06_WK9_concoct.95	0
RNA18_P45_M06_WK9_maxbin.10	0
RNA18_P45_M06_WK9_maxbin.11	1
RNA18_P45_M06_WK9_maxbin.12_sub	0
RNA18_P45_M06_WK9_maxbin.15_sub	0
RNA18_P45_M06_WK9_maxbin.17	0
RNA18_P45_M06_WK9_maxbin.21	0
RNA18_P45_M06_WK9_maxbin.41	0
RNA18_P45_M06_WK9_maxbin.54	0
RNA18_P45_M06_WK9_metabat2.12	0
RNA18_P45_M06_WK9_metabat2.16_sub	1
RNA18_P45_M06_WK9_metabat2.47	0
RNA18_P45_M06_WK9_metabat2.4_sub	0
RNA18_P45_M06_WK9_metabat2.65	0
RNA18_P45_M06_WK9_metabat2.80	0
RNA18_P45_M06_WK9_metabat2.91	0
RNA19_P19_M09_WK1_concoct.113	282651
RNA19_P19_M09_WK1_concoct.20	86112
RNA19_P19_M09_WK1_concoct.35	265461
RNA19_P19_M09_WK1_concoct.37_sub	262749
RNA19_P19_M09_WK1_concoct.38	1040652
RNA19_P19_M09_WK1_concoct.41	287803
RNA19_P19_M09_WK1_concoct.48_sub	370878
RNA19_P19_M09_WK1_concoct.56	831048
RNA19_P19_M09_WK1_concoct.57	42166
RNA19_P19_M09_WK1_concoct.58	331730
RNA19_P19_M09_WK1_concoct.60	350461
RNA19_P19_M09_WK1_concoct.68	1141956
RNA19_P19_M09_WK1_concoct.69	750634
RNA19_P19_M09_WK1_concoct.74	218974
RNA19_P19_M09_WK1_concoct.77_sub	82286
RNA19_P19_M09_WK1_concoct.78	345020
RNA19_P19_M09_WK1_concoct.7	714504
RNA19_P19_M09_WK1_concoct.82_sub	107512
RNA19_P19_M09_WK1_concoct.83	191714
RNA19_P19_M09_WK1_concoct.92_sub	71405
RNA19_P19_M09_WK1_concoct.95	637378
RNA19_P19_M09_WK1_maxbin.10	24947
RNA19_P19_M09_WK1_maxbin.11	190428
RNA19_P19_M09_WK1_maxbin.12_sub	76739
RNA19_P19_M09_WK1_maxbin.15_sub	339248
RNA19_P19_M09_WK1_maxbin.17	154480
RNA19_P19_M09_WK1_maxbin.21	42304
RNA19_P19_M09_WK1_maxbin.41	1494772
RNA19_P19_M09_WK1_maxbin.54	97220
RNA19_P19_M09_WK1_metabat2.12	242576
RNA19_P19_M09_WK1_metabat2.16_sub	269890
RNA19_P19_M09_WK1_metabat2.47	57606
RNA19_P19_M09_WK1_metabat2.4_sub	1220355
RNA19_P19_M09_WK1_metabat2.65	162295
RNA19_P19_M09_WK1_metabat2.80	62514
RNA19_P19_M09_WK1_metabat2.91	72327
