Sample	MappedReadCount
DNA1_P43_M01_WK1_concoct.92_sub_modified_drep_counts	185983
DNA1_P43_M01_WK1_concoct.95_modified_drep_counts	943429
DNA1_P43_M01_WK1_maxbin.10_modified_drep_counts	75541
DNA1_P43_M01_WK1_maxbin.11_modified_drep_counts	386128
DNA1_P43_M01_WK1_maxbin.12_sub_modified_drep_counts	92094
DNA1_P43_M01_WK1_maxbin.15_sub_modified_drep_counts	576399
DNA1_P43_M01_WK1_maxbin.17_modified_drep_counts	237886
DNA1_P43_M01_WK1_maxbin.21_modified_drep_counts	36070
DNA1_P43_M01_WK1_maxbin.41_modified_drep_counts	590364
DNA1_P43_M01_WK1_maxbin.54_modified_drep_counts	288046
DNA1_P43_M01_WK1_metabat2.12_modified_drep_counts	43991
DNA1_P43_M01_WK1_metabat2.16_sub_modified_drep_counts	356611
DNA1_P43_M01_WK1_metabat2.47_modified_drep_counts	51515
DNA1_P43_M01_WK1_metabat2.4_sub_modified_drep_counts	715384
DNA1_P43_M01_WK1_metabat2.65_modified_drep_counts	168493
DNA1_P43_M01_WK1_metabat2.80_modified_drep_counts	66785
DNA1_P43_M01_WK1_metabat2.91_modified_drep_counts	79888
DNA20_P1_M09_WK1_concoct.113_modified_drep_counts	207639
DNA20_P1_M09_WK1_concoct.20_modified_drep_counts	335628
DNA20_P1_M09_WK1_concoct.35_modified_drep_counts	180054
DNA20_P1_M09_WK1_concoct.37_sub_modified_drep_counts	162812
DNA20_P1_M09_WK1_concoct.38_modified_drep_counts	1060922
DNA20_P1_M09_WK1_concoct.41_modified_drep_counts	579266
DNA20_P1_M09_WK1_concoct.48_sub_modified_drep_counts	858560
DNA20_P1_M09_WK1_concoct.56_modified_drep_counts	887300
DNA20_P1_M09_WK1_concoct.57_modified_drep_counts	38295
DNA20_P1_M09_WK1_concoct.58_modified_drep_counts	309968
DNA20_P1_M09_WK1_concoct.60_modified_drep_counts	362001
DNA20_P1_M09_WK1_concoct.68_modified_drep_counts	1426978
DNA20_P1_M09_WK1_concoct.69_modified_drep_counts	589430
DNA20_P1_M09_WK1_concoct.74_modified_drep_counts	171403
DNA20_P1_M09_WK1_concoct.77_sub_modified_drep_counts	68742
DNA20_P1_M09_WK1_concoct.78_modified_drep_counts	360129
DNA20_P1_M09_WK1_concoct.7_modified_drep_counts	707807
DNA20_P1_M09_WK1_concoct.82_sub_modified_drep_counts	207708
DNA20_P1_M09_WK1_concoct.83_modified_drep_counts	169772
DNA20_P1_M09_WK1_concoct.92_sub_modified_drep_counts	74137
DNA20_P1_M09_WK1_concoct.95_modified_drep_counts	1036201
